formula,images
"\underline { A } _ { 0 \mu } ( x , t ) = e ^ { - i H _ { W 0 } t } \underline { A }",6bdf89cbae.png
"\rho _ { n } = \frac { \pi } { 2 } ( 1 + n B - \frac { 2 \pi B } { \beta ^ { 2 } } ( 2 a _ { + } - 1 ) ) ,",6076f21727.png
"\alpha _ { e f f } ^ { \prime } = \frac { \alpha ^ { \prime } } { \epsilon } , u = \frac { r } { \epsilon \alpha _ { e f f } ^ { \prime } } , G _ { o ( 1 ) } ^ { 2 } = \frac { g _ { s } } { \epsilon } , Q _ { 5 } = \alpha _ { e f f } ^ { \prime } N",216ab98f6f.png
x _ { 1 } = y + \frac { 1 } { 8 } ( 4 c _ { 2 } - c _ { 3 } ^ { 2 } + 4 c _ { 3 } z ^ { 2 } + 8 z ^ { 4 } ) .,34ce4ea754.png
\sum _ { p = 0 } ^ { n } ( - 1 ) ^ { p } [ b _ { p } - m _ { p } ( f ) ] = 0,430e97a953.png
"i \frac { \partial } { \partial t } \psi ( y , z , t ) = ( m \sigma _ { 1 } - i \sigma _ { 2 } \frac { \partial } { \partial y } - i \sigma _ { 3 } \frac { \partial } { \partial z } ) \psi ( y , z , t ) .",67174a27e4.png
"e _ { 1 } = ( \begin{array} { c } 1 \\ 0 \\ 0 \\ \vdots \\ 0 \end{array} ) , e _ { 2 } = ( \begin{array} { c } 0 \\ 1 \\ 0 \\ \vdots \\ 0 \end{array} ) , \dots , e _ { N } = ( \begin{array} { c } 0 \\ 0 \\ 0 \\ \vdots \\ 1 \end{array} ) .",6d2a72f50a.png
W _ { f i } = \langle p _ { f } | q _ { i } \rangle e x p ( - i H ( p _ { f } ) T / \hbar ) .,79f597cd0e.png
H _ { 6 } ( r ) = 1 + \frac { g _ { s } \sqrt { \alpha ^ { \prime } } M } { 2 r } .,616b1758b4.png
\langle Q ^ { 2 } \rangle = \int d x d y \langle j ( x ) j ( y ) \rangle = \Omega \int d x \langle j ( x ) j ( 0 ) \rangle,42d022d53f.png
"\delta ( x _ { 0 } - y _ { 0 } ) [ j _ { 0 } ( x ) , \phi ( y ) ] = e \phi ( x ) .",330d792229.png
"f ( r , x _ { n + 1 } ) = \int _ { 0 } ^ { 1 } \frac { 2 ^ { n } t ^ { n - 1 } } { ( a + t ^ { 2 } b ) ^ { n } } d t .",70fccf5261.png
d s _ { d } ^ { 2 } = 2 \widetilde e ^ { 3 } \widetilde e ^ { 4 } + 2 \widetilde e ^ { 1 } \widetilde e ^ { 2 },33e68dec6a.png
T _ { \mu \nu } = \frac { 4 \pi } { g } ( \partial _ { \mu } n \partial _ { \nu } n - \frac { \delta _ { \mu \nu } } { 2 } ( \partial n ) ^ { 2 } ) - \delta _ { \mu \nu } t,1b466b5184.png
"T r ( M _ { + } M _ { - } ) = 0 ,",7c99ded238.png
"\phi _ { R } = B ^ { \prime } z ^ { \sigma } ( 1 - z ) _ { 2 } ^ { - \gamma } F _ { 1 } ( 1 + \sigma - \gamma + \lambda , \sigma - \gamma - \lambda , 1 + 2 \sigma ; z )",73a1cb964d.png
"\Delta A _ { 1 } ^ { + + } ( 0 , 0 ) = 2 \pi k _ { 1 } , D e l t a A _ { 2 } ^ { + + } ( 0 , 0 ) = 2 \pi k _ { 2 } .",7c5e50ee15.png
X ^ { I } \longrightarrow \frac { X ^ { I } ( z ) } { \sqrt { N _ { K L } \bar { X } ^ { K } ( z ) X ^ { L } ( \bar { z } ) } } .,5981839015.png
\lambda = 2 \frac { \tilde { d } k } { \sqrt { \Delta } },7abe53a0d5.png
S _ { i n t } = \frac { \lambda } { 2 \pi } \int d ^ { 2 } z e ^ { - \sqrt { k ^ { \prime } / 2 } \rho } \cos \sqrt { k / 2 } ( x _ { L } - x _ { R } ),11115763fa.png
"\xi = ( \begin{array} { c } \xi _ { 1 } \\ \xi _ { 2 } \end{array} ) , \xi ^ { \dag } = ( \xi _ { 1 } ^ { * } \xi _ { 2 } ^ { * } )",126863082e.png
"S O ( 4 , 2 ) \times S O ( 6 ) \approx S U ( 2 , 2 ) \times S U ( 4 ) .",6a186b2706.png
\epsilon _ { 0 } = \cos \pi a _ { 0 } \epsilon _ { 1 } = \cos \pi a _ { 1 } .,2dea0e824a.png
"| \psi \rangle = \sum _ { r , \phi , l } | r , \phi , l \rangle \langle r , \phi , l | \psi \rangle ,",12579593cf.png
= i \int \frac { d ^ { 4 } x _ { 1 } d ^ { 4 } p ^ { \prime } } { ( 2 \pi ) ^ { 4 } } e ^ { - i p _ { \mu } ^ { \prime } x _ { 2 } ^ { \mu } } \frac { p _ { \nu } ^ { \prime } \gamma ^ { \nu } + m } { p _ { \tau } ^ { \prime } p ^ { \tau \prime } - m + i \epsilon } e ^ { i p _ { \eta } ^ { \prime } x _ { 1 } ^ { \eta } } N _ { \sigma } \gamma ^ { \sigma } \psi ( 1 ),718729e667.png
"\rho = \int _ { - \delta } ^ { \delta } \check { \rho } ( r , \tau ) \frac { R ^ { ' } ( r , \tau ) } { ( 1 + E ( r ) ) ^ { \frac { 1 } { 2 } } } d r .",3316981b21.png
"\varepsilon _ { + } ^ { 1 } = e ^ { - \frac { 1 } { 2 } \sigma } \eta , \varepsilon _ { + } ^ { 2 } = - i \theta ( x ^ { 5 } ) e ^ { - \frac { 1 } { 2 } \sigma } \eta ,",eb363a1f84.png
"d s ^ { 2 } = a ^ { 2 } ( \eta ) [ d \eta ^ { 2 } - ( \delta _ { i j } + h _ { i j } ) d x ^ { i } d x ^ { j } ] ,",4cbe7c55ce.png
"\tilde { \tau } = A \tau + b \varphi , \tilde { \varphi } = r _ { + } \varphi ,",21781d2951.png
- < < G _ { 1 } ^ { 0 } G _ { 2 } ^ { 0 } G _ { 3 } ^ { 0 } K _ { 2 3 } ^ { L } G _ { 2 } ^ { 0 } G _ { 3 } ^ { 0 } > > g ^ { 0 } < < G _ { 1 } ^ { 0 } G _ { 2 } ^ { 0 } K _ { 1 2 } ^ { L } G _ { 1 } ^ { 0 } G _ { 2 } ^ { 0 } G _ { 3 } ^ { 0 } > > .,3f5ab052d3.png
"\tilde { D } _ { - } \tilde { D } _ { + } \tilde { W } = e ^ { 2 \tilde { W } } \tilde { \Psi } _ { L } ^ { + } \tilde { \Psi } _ { R } ^ { - } , \tilde { D } _ { \pm } = \tilde { \partial } _ { \pm } + i \tilde { \eta } ^ { \pm } \tilde { \partial } _ { \pm \pm } ,",533a9f0534.png
"S [ \varphi , X _ { n } ] = S [ \phi ( \varphi ) , \phi ( X _ { n } ) ] , 2 c m \forall \phi \in D i f f _ { M } ,",7f6efa89b7.png
\Psi ( x ) = h ^ { - 1 } ( x ) \psi ( x ) .,4e1f8bfc4a.png
a ( \tau ) = \sqrt { \frac { 3 } { \Lambda } } \cos ( \sqrt { \frac { \Lambda } { 3 } } \tau ) .,53a6a79244.png
"- E _ { i } = D _ { i } A _ { 0 } = \partial _ { i } A _ { 0 } + i g [ A _ { i } , A _ { 0 } ] = 0",3d82d41f2e.png
g ( \gamma _ { 1 } ) \sigma = g _ { 0 } \sigma g ( \gamma _ { 1 } ),7b8fa29125.png
- \frac { 1 } { r } ( \Delta \alpha ) _ { \theta } = - \frac { 1 } { r } \omega ^ { 2 } \alpha _ { \theta } - 2 e ( \varphi ^ { * } \partial _ { r } \phi + \varphi \partial _ { r } \phi ^ { * } ) .,45639b8e85.png
0 < v _ { \pm } < 1 - \frac { 3 m _ { * } ^ { 2 } } { 2 ( 2 \mu + m _ { * } ^ { 2 } ) } .,551b161bb7.png
H \to \frac { H } { g _ { Y M } ^ { 2 } } ; g _ { Y M } ^ { - 2 } = \mu _ { 3 },7092d32e61.png
"[ p _ { a } , p _ { b } ] = i f _ { a b } ^ { c } p _ { c } , [ p _ { a } , g _ { M N } ] = ( g t _ { a } ) _ { M N } .",5572ea2a3c.png
"\Gamma _ { L } ^ { K } [ - \frac { 1 } { 2 } \partial _ { K } F _ { L } + \sum _ { R } \frac { h _ { R } } { 2 } \{ \Delta _ { R L } - \frac { 1 } { 3 } \} \partial _ { K } C _ { R } \frac { \Gamma ( R ) } { 2 } ] \varepsilon _ { 0 } = 0 ,",59a7eeae33.png
"( - \partial _ { d } ^ { 2 } + \xi R + m ^ { 2 } ) \Phi _ { \lambda } ( \tau , \vec { x } ) = \lambda \Phi _ { \lambda } ( \tau , \vec { x } ) ,",74fcf5ec4a.png
"\frac { \partial \Lambda } { \partial \lambda _ { j } } = \Lambda _ { j } , \Lambda _ { j } \Lambda _ { k } = 0 , j \neq k , \Lambda _ { j } ^ { 2 } = \Lambda _ { j } , \Lambda _ { j } \Sigma _ { x } = \Sigma _ { x } \Lambda _ { j } ,",6b8114f7a7.png
"\frac { 1 } { \alpha ( v ) } \frac { d ^ { 2 } \alpha } { d v ^ { 2 } } = c ,",1e8c337883.png
D \int d x a = 0,6c31bed620.png
"\langle Z _ { 1 } Z _ { 2 } , P \rangle = \langle Z _ { 1 } \otimes Z _ { 2 } , \Delta P \rangle .",5e738a84d2.png
\Gamma _ { \mu } = - \frac { 1 } { 4 } \gamma ^ { ( a ) } \gamma ^ { ( b ) } e _ { ( a ) } ^ { \nu } ( \partial _ { \mu } e _ { ( b ) \nu } - \Gamma _ { \nu \mu } ^ { \lambda } e _ { ( b ) \lambda } ),24c1e8c1e7.png
"\{ Q _ { \alpha } , Q _ { \beta } \} = 2 P _ { a } \gamma _ { \alpha \beta } ^ { a } , \{ S _ { \alpha } , S _ { \beta } \} = 2 P _ { a } \gamma _ { \alpha \beta } ^ { a } , \{ Q _ { \alpha } , S _ { \beta } \} = 2 \epsilon _ { \alpha \beta } P _ { 3 } ,",51d72168a0.png
I _ { 0 } ( \mu ) = \frac { 1 } { 2 } \int \frac { d ^ { 2 } k } { ( 2 \pi ) ^ { 2 } } \frac { 1 } { \sqrt { g ( \vec { k } } ) },1e4dfa1892.png
"d s ^ { 2 } = H _ { p } ( u ) ^ { - 1 / 2 } [ - d t ^ { 2 } + ( d \vec { x } ^ { \parallel } ) ^ { 2 } ] + H _ { p } ( u ) ^ { 1 / 2 } ( d \vec { x } ^ { \perp } ) ^ { 2 } ,",3f0fd99b69.png
"L ( q , \dot { q } ) = \frac { 1 } { 2 } \dot { q } ^ { 2 } - V ( q ) .",636cc84990.png
"[ H _ { 0 } , \gamma _ { 1 i } ^ { a } ] ^ { * } = \gamma _ { 2 i } ^ { a } , [ H _ { 0 } , \gamma _ { 2 i } ^ { a } ] ^ { * } = \partial _ { i } \gamma _ { 2 } ^ { a } ,",573c1d82e7.png
M = ( \begin{array} { c c } \cos \frac { \pi } { n } & - \sin \frac { \pi } { n } \\ \sin \frac { \pi } { n } & \cos \frac { \pi } { n } \end{array} ) .,7032525d94.png
"\Lambda _ { c r i t } = 4 \pi G \rho _ { N R } = \frac { 1 } { a _ { 0 } ^ { 2 } } ,",45a7c2d27a.png
\delta _ { H } L _ { P } = 0 \longrightarrow H ^ { \mu _ { 1 } \dots \mu _ { d - p - 1 } } = F ^ { * \mu _ { 1 } \dots \mu _ { d - p - 1 } } ( V ) + K ^ { \mu _ { 1 } \dots \mu _ { d - p - 1 } },f83b0d977c.png
"L _ { C } = - \frac { \kappa } { 2 } \sqrt { | \eta | } c _ { \alpha \beta } \theta _ { \mu } ^ { \alpha } ( \xi ) \theta _ { \nu } ^ { \beta } ( \xi ) \eta ^ { i j } \partial _ { i } \xi ^ { \mu } \partial _ { j } \xi ^ { \nu } ,",2436b34831.png
"\xi \rightarrow \xi - \int ^ { x ^ { + } } d x ^ { + \prime } \int ^ { x ^ { - } } d x ^ { - \prime } e ^ { \eta ( x ^ { + } ^ { \prime } , x ^ { - } ^ { \prime } ) }",6e3be102bb.png
"\{ j ^ { a } ( x ) , j ^ { b } ( y ) \} = - 2 \sqrt { 2 } \epsilon ^ { a b c } \eta _ { c d } j ^ { d } ( x ) \delta ( x - y ) + 4 \eta ^ { a b } \delta ^ { \prime } ( x - y )",3a5a1c0f28.png
"v ^ { i } \phi ^ { m } ( \theta \gamma ^ { k l } \theta ) ( \theta \gamma ^ { i j m } \theta ) ( \theta \gamma ^ { j k l } \theta ) ,",6b4ddc6402.png
"L _ { g . f . } ^ { - } = 0 , 4 . 2 c m L _ { g . f . } ^ { + } = e _ { + } ^ { + } ( \phi , \eta ) d \theta ^ { + } ,",c9d1cfd035.png
x _ { - } ^ { \prime } \cdot \sigma = ( z _ { 3 } \oplus i ( z ) ) _ { - } ^ { \mu } \sigma _ { \mu } x _ { + } \cdot \tilde { \sigma } x _ { 3 + } \cdot \sigma,1a9532e244.png
"I = \sum _ { l = 1 } ^ { \infty } \nu \int _ { 0 } ^ { \infty } y ^ { 2 } d y , \nu = l + \frac { 1 } { 2 } .",5133125fc9.png
"( \xi _ { 0 } \partial _ { \xi _ { 0 } } + \beta _ { g } ^ { \xi _ { 0 } } g \partial _ { g } - 2 \beta _ { g } ^ { \xi _ { 0 } } ) ( 1 + \tilde { \Pi } ( p ^ { 2 } , \kappa ^ { 2 } , \xi _ { o } ) ) = 0",2afafdcd73.png
"G ^ { D L } = \overline { L } ^ { * } G D L , 0 . 3 i n G ^ { L D } = \overline { L } ^ { * } G L D ,",1f1b2108b0.png
"+ e ^ { 2 F ( x ) } d z ^ { m } d z ^ { m } + e ^ { 2 B ( x ) } d x ^ { \alpha } d x ^ { \alpha } ,",2e65237334.png
\zeta ( s ) = \zeta ^ { ( 0 ) } ( s ) + \zeta ^ { ( 1 ) } ( s ),36268a187f.png
"\hat { \Gamma } _ { b c } ^ { a } \equiv \{ _ { b c } ^ { a } \} _ { h a t } - \frac { 1 } { 2 } ( \psi _ { , b } \delta _ { c } ^ { a } + \psi _ { , c } \delta _ { b } ^ { a } - \hat { g } _ { b c } \hat { g } ^ { a n } \psi _ { , n } ) .",3f136e7adf.png
\Pi _ { \mu } ^ { \pm \pm } ( x ) : x \rightarrow ( x \pm \hat { \mu } ) \rightarrow x \rightarrow ( x \pm \hat { \mu } ) \rightarrow x,7cdb6d0e2c.png
"\{ \widetilde \Gamma _ { \mu } , \widetilde \Gamma _ { \nu } \} = 2 \widetilde g _ { \mu \nu } = 2 \eta _ { \mu \nu } .",51928726c1.png
"D _ { i j , k l } ^ { a c , b d } = \frac { 1 } { N } \delta _ { a c } \delta _ { b d } \sum _ { m = 0 } ^ { Q - 1 } B ( a - b - P m ) \delta _ { i l } \delta _ { k j } e ^ { i \frac { 2 \pi } { Q } ( i - j ) m } .",68ccaa80d7.png
"J _ { 0 } ^ { a } | \phi ^ { b } \rangle = f _ { c } ^ { a b } | \phi ^ { c } \rangle , J _ { m \ge 1 } ^ { a } | \phi ^ { b } \rangle = 0 .",2637908833.png
m _ { C } ^ { 2 } = \langle g ^ { 2 } A _ { \mu } ^ { a } A _ { \mu } ^ { a } \rangle + ( \frac { 1 } { 2 } \alpha + \beta ) \langle i g ^ { 2 } \bar { C } ^ { a } C ^ { a } \rangle .,5e1d3cec87.png
A = T r [ \not b ] .,35df5a0ccb.png
\dot { \psi _ { 1 } } ( x ) = \frac { 1 } { 2 a } [ \psi _ { 2 } ( x + 1 ) - \psi _ { 2 } ( x - 1 ) ],4fd17c1cad.png
"k _ { 0 \pm } ^ { 2 } = \frac { 1 } { 2 } [ ( s ^ { 2 } + 2 \overrightarrow { k } ^ { 2 } ) \pm \sqrt { s ^ { 4 } + 4 v _ { o } ^ { 2 } \overrightarrow { k } ^ { 2 } } ] ,",73cf3abf09.png
\rho _ { p + 1 } \gamma _ { \mu } = T _ { p } d \sigma ^ { \nu } ( G - F \Gamma _ { 1 1 } ) _ { \nu \mu } .,1d9fbb8f64.png
"S [ q ] = \int _ { \min ( \tau ^ { \prime } , \tau ^ { \prime \prime } ) } ^ { \max ( \tau ^ { \prime } , \tau ^ { \prime \prime } ) } L d \tau ,",5cc8f03894.png
- ( \frac { m } { e } ) ^ { 2 } [ \partial _ { \mu } \hat { P } _ { \nu } ^ { a } - \partial _ { \nu } \hat { P } _ { \mu } ^ { a } + \frac { m } { e } \epsilon ^ { a b c } \hat { P } _ { \mu } ^ { b } \hat { P } _ { \nu } ^ { c } ] = m ^ { 2 } \tilde { W } _ { \mu \nu } ^ { a } .,65959b59a3.png
"[ J _ { m n } , J _ { p q } ] = i ( \delta _ { q [ m } J _ { n ] p } - \delta _ { p [ m } J _ { n ] q } )",5a382a6dfc.png
\tilde { B } _ { 2 } = B _ { 2 } - \theta _ { y } + \theta _ { x } ^ { 2 } + 2 \theta _ { x } \partial + \theta _ { x x },3f45d977c4.png
\frac { g \gamma _ { d } ^ { \alpha } } { \sqrt { 2 } } ( \begin{array} { c } 0 \\ i W _ { \alpha } ^ { 2 } \psi _ { 2 L } + Z _ { \alpha } \psi _ { 1 L } / \cos \theta _ { w } \end{array} ) + \frac { M _ { i } + \eta _ { i } } { \sqrt { 2 } } ( \begin{array} { c } \psi _ { 1 R } \\ \psi _ { 1 R } \end{array} ) .,10bf4bbd0f.png
Z = \sqrt { 2 } \sum _ { i } Q _ { i } c ^ { i } ( u ) .,1162a1b2fa.png
"F _ { \mu } [ \xi | s ] = \Phi _ { \xi } ^ { - 1 } ( s , 0 ) F _ { \mu \nu } ( \xi ( s ) ) \dot { \xi } ^ { \nu } ( s ) \Phi _ { \xi } ( s , 0 ) ,",77edeb4ae8.png
R _ { \mu r \nu } ^ { r } = G ^ { r r } R _ { r \mu r \nu } = - \frac { 1 } { \lambda ^ { 2 } } \nabla _ { \nu } ( \lambda \partial _ { \mu } \lambda ) .,52f345d37c.png
"\Gamma \to \Gamma + \langle \Gamma , V \rangle V .",686424e205.png
"S \rightarrow S - \frac { 1 } { 8 \pi ^ { 2 } } \sum _ { i = 1 } ^ { h _ { ( 1 , 1 ) } } \delta _ { G S } ^ { i } \log ( i c T + d ) _ { i }",3a188fa0b1.png
"d O _ { A } ^ { ( k ) } = \{ Q _ { A } , O _ { A } ^ { ( k + 1 ) } \} , A = 1 , 2 .",6b728e7c6a.png
"1 - \frac { A } { ( C + E ) ^ { 2 } } \frac { D + \ell ^ { 2 } } { D } \ge 0 ,",43e94cd68f.png
D _ { i j } = - \frac { 1 } { 2 } T r ( R _ { i } R _ { j } ) .,5ffd7422a5.png
A _ { c c } \sim ( p _ { 1 } ^ { + } \cdot p _ { 2 } ^ { - } ) ^ { 2 } \frac { \Gamma ( s - 1 ) \Gamma ( t ) } { \Gamma ( s + t ) } .,7ad0dbfe92.png
"\delta \dot { x } ( \tau ) = \delta \tau \ddot { x } ( \tau ) ,",15304719a9.png
U ^ { a b } = \delta ^ { a b } 2 \rho ^ { 2 } S _ { c l } .,383c0ed740.png
"\int _ { 0 } ^ { \infty } d k k ^ { \mu - 1 } \sin ( a k - \frac { b } { k } ) = 2 ( \frac { b } { a } ) ^ { \frac { \mu } { 2 } } \sin \frac { \mu \pi } { 2 } K _ { \mu } ( 2 \sqrt { a b } ) ,",14f7104dce.png
B _ { 1 } ( s ) = \int _ { 0 } ^ { c } d m m ^ { - 1 - b _ { 0 } s } \int \frac { d ^ { 3 } p } { ( 2 \pi ) ^ { 3 } } e ^ { - \beta \sqrt { ( p ^ { 2 } + m ) } },6316696312.png
E = - 4 \sum _ { k = 1 } ^ { l } \frac { \sin ^ { 2 } \gamma } { \cosh 2 \gamma \lambda _ { k } - \cos \gamma } .,6298267346.png
"I I B : S ^ { 2 } \to 0 \to S ^ { 3 } ,",7b1094331e.png
\phi + \bar { D } ^ { 2 } \bar { F } + \bar { \phi } + D ^ { 2 } F,26a554d983.png
Z = e x p \{ \frac { i } { \hbar } W \},3f5cd55997.png
"Q _ { \alpha } | 0 \rangle = 0 , \bar { Q } _ { \dot { \alpha } } | 0 \rangle = 0 ,",28f41cccc1.png
l i m _ { r \rightarrow 0 } G _ { i } ( r ) \sim \frac { q _ { i } } { 2 \pi r },409f755ba9.png
"\Sigma ( \varphi ^ { i } , \varphi ^ { * i } , \varepsilon ^ { A } , g ) + \hbar ^ { n } \Theta = \Sigma ( \varphi _ { 0 } ^ { i } , \varphi _ { 0 } ^ { * i } , \varepsilon _ { 0 } ^ { A } , g _ { 0 } ) + O ( \hbar ^ { n + 1 } ) ,",5e78ac31b9.png
"n f _ { n } = \delta _ { A } ^ { ( 1 ) } \alpha \partial _ { \alpha } f _ { n - 1 } , f _ { 0 } = \alpha , f o r a l \ln \ge 1 .",1b8d155f1d.png
"\Delta \lambda = ( r ^ { 2 } \lambda _ { , r } ) _ { , r } + \frac { 1 } { \sin \theta } ( \sin \theta \lambda _ { , \theta } ) _ { , \theta } = 0",6b77b99f88.png
d _ { \chi ( \lambda ) } ( H + \omega + \lambda d _ { \chi } ( i _ { \chi } g ) ) = 0,707210d57c.png
\partial _ { a } J ^ { a } = \partial _ { a } \Theta ^ { a b } = \partial _ { a } \vec { J } ^ { a } = 0,59e73cd608.png
( \frac { 1 } { c ^ { 2 } } \frac { \partial ^ { 2 } } { \partial t ^ { 2 } } - \nabla ^ { 2 } ) \phi = 0,11fb6ade14.png
"t ( \lambda ; \{ \lambda _ { m } \} ) = t r _ { a } T ( \lambda ; \{ \lambda _ { m } \} ) \equiv t r _ { a } \prod _ { k } S _ { a k } ( \lambda - \lambda _ { k } ) ,",36e8bb889f.png
"\{ Q _ { \alpha A } , Q _ { \beta B } \} = P _ { \mu } ( C \gamma ^ { \mu } ) _ { \alpha \beta } \Omega _ { A B } + C _ { \alpha \beta } Z _ { A B }",26ede6a5dc.png
"a ( \xi ) = \frac { \xi ^ { - 1 } - \xi } { q ^ { - 1 } \xi ^ { - 1 } - q \xi } , b ( \xi ) = \frac { q ^ { - 1 } - q } { q ^ { - 1 } \xi ^ { - 1 } - q \xi } .",64daea677f.png
x _ { 0 } = ( \frac { 2 c ^ { 2 } K \lambda _ { 0 } } { \pi } ) ^ { \frac { 1 } { 1 - 2 K } },1bcbd970c7.png
"\gamma _ { a b } d x ^ { a } d x ^ { b } = l i m _ { r \to \infty } \frac { 1 } { r } h _ { a b } d x ^ { a } d x ^ { b } = - \frac { 2 b ^ { 2 } } { p ^ { 2 } } d t ^ { 2 } + d x _ { p } ^ { 2 } ,",280aa55237.png
"V \approx - \frac { \kappa M } { 8 \pi \ell r } ( 1 + \frac { \ell ^ { 2 } } { 2 r ^ { 2 } } ) , \hat { \xi } ^ { 5 } \approx \frac { \kappa M } { 2 4 \pi r }",3b3d7fd408.png
"[ X _ { n } ^ { - } , X _ { n } ^ { + } ] = [ V _ { n } ^ { - } , V _ { n } ^ { + } ] = 1 ,",5210afedda.png
Z _ { d r o p l e t } = N ! e ^ { - 2 N F ( d ) } \sim N ! ( f _ { e f f } ( d ) ) ^ { 2 N } d ^ { 2 \gamma N } .,12f83dedbe.png
"0 = \frac { \delta } { \delta B _ { a } ^ { b } ( x y ) } [ \delta _ { 5 } \Gamma [ B ] ] ,",1f30d388fe.png
"\frac { \partial } { \partial x } T ( x , y , \lambda ) = - L ( x , \lambda ) T ( x , y , \lambda )",1fab5cf962.png
\int d ^ { 2 } x \epsilon _ { \mu \nu } \partial _ { \mu } A _ { \nu } = 0 .,1eb446cd57.png
"G _ { \Lambda } ( D ) = \Lambda ^ { 3 / 4 } \frac { \cosh ( \sqrt [ [ o b j e c t O b j e c t ] ] \Lambda D ) } { \sinh ^ { 3 } ( \sqrt [ [ o b j e c t O b j e c t ] ] \Lambda D ) } ,",1fae846cb8.png
1 + \frac { Q _ { 5 } g } { \mu X ^ { 2 } } + \frac { g ^ { 2 } n } { R ^ { 2 } V \mu ^ { 4 } X ^ { 2 } },12577b7575.png
\Psi _ { E } = ( \begin{array} { c } \chi ^ { 1 } \\ \chi ^ { 2 } \end{array} ) e ^ { - i E t },75c8f207b2.png
"T \equiv \eta \sinh A s , Z \equiv \eta \cosh A s ,",693d497889.png
\hat { H } = \lambda ( A ^ { 2 } + D ^ { 2 } ) + e ^ { i \pi ( P - 1 ) / 2 } q ^ { - 1 / 2 } ( q - q ^ { - 1 } ) ( C A + B D ) .,c6b6e4645e.png
H = \sum _ { i = 1 } ^ { 2 l - 1 } [ \cos \omega \sigma _ { i } + \sin \omega \sigma _ { i } ^ { 2 } ] .,208cf9b5c5.png
\sum _ { j = 1 } ^ { N } \frac { \Phi _ { j } ^ { 2 } } { ( \mu _ { i } - h _ { j } ) ^ { 2 } } = - \frac { 1 } { g ^ { 2 } } \frac { \partial _ { z } m ( z = \mu _ { i } ; \mu ) } { a ( z = \mu _ { i } ) } \cdotp,574bd9e4fd.png
"- i \partial _ { t } \Psi = ( H _ { 0 } + H _ { I } ) \Psi ,",bb36c5df14.png
L = L _ { p h y s } + L _ { g h o s t },207c83d9f0.png
"\partial W \cdot \varepsilon _ { s \ge 1 } = 0 , L",78f2708eb0.png
"G _ { k } ^ { ( \infty , i ) } ( n , m _ { 1 } ^ { 2 } , m _ { 2 } ^ { 2 } , m _ { 3 } ^ { 2 } , m _ { 4 } ^ { 2 } )",1563b398c8.png
d s ^ { 2 } = \eta _ { \mu \nu } d x ^ { \mu } d x ^ { \nu } + r ^ { 2 } ( d \theta + q d y ) ^ { 2 } + d y ^ { 2 } .,673faf5a46.png
"( \nabla _ { \mu } \nabla ^ { \mu } + \frac { 1 } { 6 } R ) \varphi ( x ) = 0 ,",60ac6efda3.png
"a _ { \pm } \sim ( x ^ { \pm } ) ^ { 1 - \epsilon } 0 < \epsilon < < 1 | x ^ { \pm } | \rightarrow \infty ,",707c70f08c.png
T _ { 0 0 } ^ { ( 2 ) } = N ^ { 2 } ( 2 \pi ) ^ { 3 } \int d ^ { 3 } \vec { p } \omega _ { \vec { p } } | F ( \vec { p } ) | ^ { 2 },50586c99a8.png
I n d e x o f f _ { m } ^ { ( + ) } = T r \epsilon [ P ^ { ( N ) } - ( P ^ { ( N ) } F P ^ { ( N ) } ) ^ { 2 } ] .,726ca0ffed.png
"( \omega - H ( \omega ) ) \psi _ { \omega } = 0 ,",f145b8b2e6.png
"A _ { \mu } = - \frac { 1 } { 2 } F _ { \mu \nu } x ^ { \nu } ,",76af483ca6.png
"\alpha = 0 : J _ { 1 } \pm i J _ { 2 } = e ^ { \pm i x / 2 } ( p ^ { 2 } - \frac { 1 } { 4 } ) ^ { \frac { 1 } { 2 } } e ^ { \pm i x / 2 } , J _ { 0 } = p",5cf646bbc2.png
L = - \frac { 1 } { 4 } F _ { \mu \nu } F ^ { \mu \nu } + \frac { 1 } { 1 2 } H _ { \mu \nu \lambda } H ^ { \mu \nu \lambda } - \frac { m } { 6 } \epsilon ^ { \mu \nu \lambda \rho } H _ { \mu \nu \lambda } A _ { \rho },12f741e874.png
"d s ^ { 2 } = - e ^ { 2 V } ( - d t ^ { 2 } + \sum d z _ { \alpha _ { i } } ^ { 2 } ) + e ^ { 2 U } d r ^ { 2 } + N ( r ) ^ { 2 } d \Omega ^ { 2 } ,",643804ef1a.png
"\Psi = \sum _ { a , b = 1 } ^ { n } E ^ { a b } \otimes [ \sum _ { i _ { 1 } i _ { 2 } \in Z } \Psi _ { i _ { 1 } i _ { 2 } } ^ { a b } U _ { 1 } ^ { i _ { 1 } } U _ { 2 } ^ { i _ { 2 } } ] ,",364f415e47.png
"\partial _ { \rho } \dot { Z } ^ { 1 } = \partial _ { \sigma } \dot { Z } ^ { 2 } ,",74f7b9a82c.png
\nu _ { n } ^ { ( h ) } = \sum _ { i = 0 } ^ { n - 1 } \frac { 1 } { 1 + 2 q _ { i + 1 } } .,8f240068ef.png
"\int \frac { d x } { x } \frac { P ^ { ( m ) } ( \ln x ) } { x ^ { q } } = - \frac { P _ { 1 } ^ { ( m ) } ( \ln x ) } { x ^ { q } } , q > 0",6a07a1da74.png
"H _ { y z \mu } = \partial _ { \mu } b ( x ) ,",4355d5fe2f.png
\tilde { W } ( g ) = W ( g ) + S ( \sigma ; g ) | _ { \sigma = - \frac { 1 } { k } \ln \sqrt { g } },33051eba56.png
